Región,Consumo Bruto (Tcal),% a nivel Nacional,Consumo Final (Tcal),% a nivel Nacional
Arica y Parinacota,2152,0.40,2145,0.80
Tarapacá,8995,1.60,8103,2.90
Antofagasta,89998,16.30,41573,14.70
Atacama,25307,4.60,10907,3.80
Coquimbo,10923,2.00,9064,3.20
Valparaíso,90826,16.50,23920,8.40
Metropolitana,76599,13.90,70705,25.00
O'Higgins,14884,2.70,11746,4.10
Del Maule,24496,4.40,15267,5.40
Ñuble,15212,2.80,6086,2.10
Biobío,122641,22.30,37375,13.20
Araucanía,18856,3.40,11480,4.10
Los Ríos,10938,2.00,7327,2.60
Los Lagos,19091,3.50,17005,6.00
Aysén,2543,0.50,2213,0.80
Magallanes,17483,3.20,8467,3.00
Total,550947,100,283384,100