Región;Consumo Final (Tcal);Población total;Consumo relativo
Región de Arica y Parinacota;2.145;252.110;0,008508191
Región de Tarapacá;8.103;382.773;0,021169205
Región de Antofagasta;41.573;691.854;0,060089267
Región de Atacama;10.907;314.709;0,034657414
Región de Coquimbo;9.064;836.096;0,01084086
Región de Valparaíso;23.920;1.960.170;0,012203023
Región Metropolitana de Santiago;70.705;8.125.072;0,008702077
Región del Libertador Bernardo O'Higgins;11.746;991.063;0,011851921
Región del Maule;15.267;1.131.939;0,013487476
Región de Ñuble;6.086;511.551;0,011897152
Región del Bío-Bío;37.375;1.663.696;0,022465042
Región de La Araucanía;11.480;1.014.343;0,011317671
Región de Los Ríos;7.327;405.835;0,018054135
Región de Los Lagos;17.005;891.440;0,019075877
Región de Aysén del Gral.Ibañez del Campo;2.213;107.297;0,020624994
Región de Magallanes y Antártica Chilena;8.467;178.362;0,047470874